pdf_hash;body_id;azm_deg;azm_src;dip_deg;dip_src;ddr_deg;ddr_src;stl_m;stl_src;twd_m;twd_src;dwd_m;dwd_src;plg_deg;plg_src;pdr_deg;pdr_src;ore_shape;target_name;target_role;evidence_pages
3172FA35;2;;;;;;;100.0;range_mean;0.5;bounded;;;;;;;IRR;Treasure Mountain;MAIN;25
3172FA35;3;;;;;;;150.0;exact;0.7;exact;;;;;;;TAB;Treasure Mountain;MAIN;28
3172FA35;4;;;;;;;249.9;exact;1.2;exact;;;;;;;TAB;Treasure Mountain;MAIN;28
3172FA35;5;;;;;;;250.0;exact;0.2;exact;;;;;;;TAB;Treasure Mountain;MAIN;28
34BA8EB5;1;;redundant_with_ddr;60.0;exact;45.0;from_dip_cardinal;2500.0;exact;5.0;range_mean;;;;;;;TAB;Veta Madre;MAIN;52
34BA8EB5;2;;;;;;;1000.0;bounded;10.0;exact;300.0;range_mean;;;;;IRR;Veta Madre;MAIN;53
34BA8EB5;3;;redundant_with_ddr;65.0;exact;0.0;from_dip_cardinal;;;;;;;;;;;N/A;Veta Madre;MAIN;63
3475BDFD;1;;;;;;;;;0.5;range_mean;;;;;;;TAB;San Diego;MAIN;45
3475BDFD;2;;redundant_with_ddr;67.5;range_mean;180.0;from_dip_cardinal;650.0;bounded;0.9;range_mean;350.0;exact;;;;;TAB;La Cruz Vein;MAIN;46
3475BDFD;3;;redundant_with_ddr;85.0;exact;180.0;from_dip_cardinal;400.0;exact;55.0;exact;;;;;;;TAB;Montanez Vein;MAIN;47|48
3475BDFD;4;;;;;;;;;20.0;bounded;;;;;;;SWK;Montanez contact zones;MAIN;47
3475BDFD;5;225.0;range_mean;;;;;500.0;exact;0.6;range_mean;220.0;exact;;;;;TAB;El Trovador Vein;MAIN;47
3475BDFD;6;180.0;range_mean;;;;;600.0;exact;50.0;range_mean;140.0;exact;;;;;TAB;La Rata Vein;MAIN;48
3475BDFD;7;;redundant_with_ddr;80.0;exact;180.0;from_dip_cardinal;350.0;bounded;40.0;range_mean;40.0;bounded;;;;;TAB;Cantarranas Vein;MAIN;49
3475BDFD;8;;redundant_with_ddr;65.0;exact;135.0;from_dip_cardinal;500.0;bounded;30.0;range_mean;;;;;;;TAB;El Jal Vein;MAIN;49
3475BDFD;9;;redundant_with_ddr;85.0;exact;180.0;from_dip_cardinal;450.0;bounded;5.0;range_mean;;;;;;;TAB;SD Vein;MAIN;49
3475BDFD;10;;redundant_with_ddr;83.0;exact;315.0;from_dip_cardinal;350.0;exact;5.0;range_mean;;;;;;;TAB;Canta-Splay Vein;MAIN;44|49
32DB68AF;1;;redundant_with_ddr;77.0;range_mean;135.0;from_dip_cardinal;300.0;approx_magnitude;50.0;exact;;;;;;;TAB;Iska Iska;MAIN;34
34CF4581;1;60.0;range_mean;;;;;4000.0;bounded;2.0;exact;150.0;range_mean;;;;;TAB;Topia Vein System;MAIN;55|56|59
34CF4581;2;;;;;;;3500.0;exact;;;;;;;;;N/A;Topia Vein System;MAIN;56
34CF4581;3;;;;;;;2400.0;exact;;;;;;;;;N/A;Topia Vein System;MAIN;56
34F323DB;1;;redundant_with_ddr;64.0;range_mean;225.0;from_dip_cardinal;5000.0;exact;16.0;bounded|range_mean;300.0;bounded;;;;;TAB;San Acacio;MAIN;49|50
34F323DB;2;;;;;;;;;;;225.0;range_mean;;;;;TAB;San Acacio;MAIN;49|50
34F323DB;3;;;;;;;;;1.0;range_mean;;;;;;;TAB;San Acacio;MAIN;50
34F323DB;4;;;;;;;;;8.0;bounded;;;;;;;TAB;San Acacio;MAIN;51
36606EFA;1;;redundant_with_ddr;15.0;range_mean;202.5;from_dip_cardinal;;;;;;;;;;;TAB;San Andrés;MAIN;15
36606EFA;2;;;;;;;;;12.5;range_mean;;;;;;;TAB;San Andrés;MAIN;15
36CC9994;1;;;;;;;;;1.0;exact;;;;;;;TAB;Cordero;MAIN;48
36D4C92B;1;;;;;;;2000.0;bounded;2.0;exact;300.0;bounded;;;;;TAB;Cachinal;MAIN;37
36D4C92B;2;;;;;;;;;20.0;bounded;;;;;;;IRR;Cachinal;MAIN;37
37617794;1;;;;;;;177.0;exact;1.0;bounded;;;;;;;TAB;Wonderful vein system;MAIN;21
37617794;2;;;;;;;30.0;exact;40.0;exact;15.0;exact;;;;;TAB;Wonderful vein system;MAIN;23
37617794;3;;;;;;;20.0;bounded;25.0;bounded;;;;;;;TAB;Wonderful vein system;MAIN;30
37617794;4;;;;;;;;;28.5;range_mean;;;;;;;TAB;Wonderful vein system;MAIN;31
384ECF54;1;;;;;;;60.0;bounded;1.7;range_mean;45.0;bounded|range_mean;;;;;IRR;Ying Vein System;MAIN;53
384ECF54;2;;;;;;;300.0;approx_magnitude;9.0;bounded|approx_magnitude|bounded;;;;;;;TAB;Ying Vein System;MAIN;53
384ECF54;3;;;77.5;range_mean;312.5;range_mean;1800.0;exact;4.1;range_mean;900.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;4;;;78.5;range_mean;307.5;range_mean;3590.0;exact;2.8;range_mean;950.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;5;;;70.0;range_mean;297.5;range_mean;1300.0;exact;4.6;range_mean;900.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;6;;;86.5;range_mean;119.5;range_mean;2200.0;exact;4.2;range_mean;885.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;7;;;76.0;range_mean;302.5;range_mean;1900.0;exact;7.9;range_mean;1005.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;8;;;62.5;range_mean;97.5;range_mean;1800.0;exact;8.0;range_mean;900.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;9;;;70.0;range_mean;295.0;range_mean;1700.0;exact;3.4;range_mean;950.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;10;;;65.0;range_mean;292.5;range_mean;1000.0;exact;2.6;range_mean;900.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;11;;;75.0;range_mean;302.5;range_mean;1600.0;exact;5.0;range_mean;800.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;12;;;67.5;range_mean;100.0;range_mean;1500.0;exact;0.9;range_mean;820.0;exact;;;;;TAB;Ying Vein System;MAIN;56
384ECF54;13;;;80.0;range_mean;290.0;exact;1100.0;exact;1.3;range_mean;664.0;exact;;;;;TAB;Ying Vein System;MAIN;59
384ECF54;14;;;62.5;range_mean;87.5;range_mean;1360.0;exact;1.8;range_mean;606.0;exact;;;;;TAB;Ying Vein System;MAIN;59
384ECF54;15;;;77.5;range_mean;310.0;range_mean;960.0;exact;1.4;range_mean;714.0;exact;;;;;TAB;Ying Vein System;MAIN;59
384ECF54;16;;;77.5;range_mean;310.0;range_mean;880.0;exact;1.6;range_mean;664.0;exact;;;;;TAB;Ying Vein System;MAIN;59
384ECF54;17;;;76.5;range_mean;305.0;range_mean;1090.0;exact;0.7;range_mean;174.0;exact;;;;;TAB;Ying Vein System;MAIN;59
384ECF54;18;;;74.5;range_mean;325.0;range_mean;2800.0;exact;2.5;range_mean;1238.0;exact;;;;;TAB;Ying Vein System;MAIN;60
384ECF54;19;;;75.0;range_mean;310.0;range_mean;2200.0;exact;3.2;range_mean;1160.0;exact;;;;;TAB;Ying Vein System;MAIN;60
384ECF54;20;;;80.0;range_mean;320.0;range_mean;1800.0;exact;1.5;range_mean;914.0;exact;;;;;TAB;Ying Vein System;MAIN;60
384ECF54;21;;;72.5;range_mean;310.0;range_mean;1600.0;exact;1.8;range_mean;1080.0;exact;;;;;TAB;Ying Vein System;MAIN;60
384ECF54;22;;;80.0;range_mean;322.5;range_mean;1000.0;exact;1.1;range_mean;498.0;exact;;;;;TAB;Ying Vein System;MAIN;60
384ECF54;23;;;64.0;range_mean;307.5;range_mean;2429.0;exact;1.7;range_mean;1261.0;exact;;;0.0;from_cardinal;TAB;Ying Vein System;MAIN;62|63
384ECF54;24;;;65.0;range_mean;313.5;range_mean;2000.0;exact;1.5;range_mean;775.0;exact;;;0.0;from_cardinal;TAB;Ying Vein System;MAIN;62|63
384ECF54;25;;;70.0;range_mean;308.0;range_mean;1530.0;exact;1.4;range_mean;910.0;exact;;;0.0;from_cardinal;TAB;Ying Vein System;MAIN;62|63
384ECF54;26;;;70.0;range_mean;297.5;range_mean;2100.0;exact;1.1;range_mean;725.0;exact;;;0.0;from_cardinal;TAB;Ying Vein System;MAIN;62|63
384ECF54;27;;;67.0;range_mean;307.0;range_mean;810.0;exact;0.9;range_mean;535.0;exact;;;0.0;from_cardinal;TAB;Ying Vein System;MAIN;62|63
384ECF54;28;;;44.5;range_mean;302.5;range_mean;1540.0;exact;11.7;range_mean;1141.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;29;;;81.0;range_mean;45.0;range_mean;1047.0;exact;3.4;range_mean;805.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;30;;;77.5;range_mean;247.0;range_mean;1476.0;exact;1.9;range_mean;783.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;31;;;66.5;range_mean;320.0;range_mean;1420.0;exact;1.4;range_mean;691.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;32;;;70.0;range_mean;311.5;range_mean;990.0;exact;1.5;range_mean;568.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;33;;;75.0;range_mean;315.0;range_mean;1400.0;exact;2.8;range_mean;770.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;34;;;70.0;range_mean;320.0;range_mean;1800.0;exact;3.9;range_mean;870.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;35;;;70.0;range_mean;315.0;range_mean;1300.0;exact;1.0;range_mean;720.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;36;;;72.5;range_mean;317.5;range_mean;1100.0;exact;2.1;range_mean;810.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;37;;;65.0;range_mean;312.5;range_mean;800.0;exact;2.2;range_mean;510.0;exact;;;;;TAB;Ying Vein System;MAIN;63
384ECF54;38;;;80.0;range_mean;21.0;range_mean;1800.0;exact;4.1;range_mean;621.0;exact;;;;;TAB;Ying Vein System;MAIN;65
384ECF54;39;;;72.5;range_mean;317.5;range_mean;2500.0;exact;1.4;range_mean;400.0;exact;;;;;TAB;Ying Vein System;MAIN;65
384ECF54;40;;;51.0;range_mean;317.5;range_mean;740.0;exact;0.4;range_mean;330.0;exact;;;;;TAB;Ying Vein System;MAIN;65
384ECF54;41;;;58.0;exact;295.0;exact;550.0;exact;0.4;range_mean;141.0;exact;;;;;TAB;Ying Vein System;MAIN;65
38925A06;1;;;;;;;100.0;range_mean;2.0;range_mean;150.0;exact;;;;;IRR;San Ignacio;MAIN;27
389E582B;1;;;74.5;range_mean;315.0;from_dip_cardinal;640.0;exact;10.0;bounded;;;;;;;LEN;DVT Exhalite Horizon;MAIN;42
389E582B;2;;;51.0;range_mean;0.0;from_dip_cardinal;360.0;exact;3.9;range_mean;;;;;;;LEN;DVT Exhalite Horizon;MAIN;42
389E582B;3;;redundant_with_ddr;45.0;exact;315.0;from_dip_cardinal;;;;;;;30.0;exact;315.0;from_cardinal;IRR;DVT Exhalite Horizon;MAIN;45
389E582B;4;;redundant_with_ddr;65.0;exact;0.0;from_dip_cardinal;300.0;bounded;2.5;range_mean;;;;;;;LEN;DVT Exhalite Horizon;MAIN;49
389E582B;5;30.0;exact;;;;;110.0;exact;3.5;range_mean;;;;;;;LEN;DVT Exhalite Horizon;MAIN;50
389E582B;6;;redundant_with_ddr;76.5;range_mean;90.0;from_dip_cardinal;;;;;;;;;;;LEN;DVT Exhalite Horizon;MAIN;48
389E582B;7;;redundant_with_ddr;52.0;exact;315.0;from_dip_cardinal;;;7.0;exact;;;;;;;LEN;DVT Exhalite Horizon;MAIN;48|49
389E582B;8;333.0;exact;;;;;230.0;bounded;;;;;;;;;N/A;DVT Exhalite Horizon;MAIN;47
3ACF6E1B;1;;;;;;;91.4;approx_magnitude;4.6;bounded;914.4;approx_magnitude;;;;;TAB;Galena Mine;MAIN;31|33|37
3ACF6E1B;2;;;;;;;304.8;exact;2.4;range_mean;1280.2;bounded;;;;;TAB;Galena Mine;MAIN;33
3ACF6E1B;3;;redundant_with_ddr;70.0;exact;225.0;from_dip_cardinal;365.8;exact;;;274.3;exact;;;;;TAB;Galena Mine;MAIN;34
3ACF6E1B;4;;;;;;;;;0.6;exact;;;;;;;TAB;Galena Mine;MAIN;34
3ACF6E1B;5;;;;;;;;;2.1;range_mean;;;;;;;TAB;Galena Mine;MAIN;35
3ACF6E1B;6;;;;;;;;;0.9;range_mean;;;;;;;TAB;Galena Mine;MAIN;35
3B57C7E0;1;285.0;range_mean;83.5;range_mean;;;6000.0;exact;14.0;range_mean;;;;;;;TAB;San José vein;MAIN;24
3B57C7E0;2;285.0;range_mean;83.5;range_mean;;;6000.0;bounded;2.5;exact;;;;;;;TAB;San José vein;MAIN;29
3C1BDBE1;1;50.0;exact;;;;;1600.0;bounded;2.5;exact;460.0;bounded;;;;;TAB;Miguel Auza;MAIN;49
3C1BDBE1;2;50.0;exact;;;;;250.0;bounded;;;300.0;exact;;;;;TAB;Miguel Auza;MAIN;50
3C1BDBE1;3;40.0;exact;;;;;150.0;bounded;;;250.0;exact;;;;;TAB;Miguel Auza;MAIN;50
3C1BDBE1;4;50.0;exact;;;;;100.0;range_mean;;;;;;;;;TAB;Miguel Auza;MAIN;50
3C1BDBE1;5;;;;;;;425.0;exact;;;150.0;bounded;;;;;TAB;Miguel Auza;MAIN;51
3C1BDBE1;6;;;;;;;400.0;bounded;;;;;;;;;TAB;Miguel Auza;MAIN;51
3C1BDBE1;7;;;;;;;400.0;exact;200.0;exact;;;;;;;SWK;Miguel Auza;MAIN;52
3AF14E20;1;;;14.0;exact;90.0;from_dip_cardinal;;;;;142.5;range_mean;;;;;MNT;Platosa;MAIN;42
3AF14E20;2;;;;;;;60.0;exact;;multi_dimensional;;;;;;;TAB;Platosa;MAIN;42
3AF14E20;3;;;;;;;90.0;exact;25.0;bounded;;;;;;;IRR;Platosa;MAIN;42
3AF14E20;4;;;;;;;45.0;exact;9.8;range_mean;;;;;;;IRR;Platosa;MAIN;42
3AF14E20;5;;;;;;;230.0;exact;45.0;range_mean;;;;;;;MNT;Platosa;MAIN;42
3AF14E20;6;;;;;;;190.0;exact;40.0;range_mean;;;;;;;MNT;Platosa;MAIN;43
3AF14E20;7;;;;;;;;;7.5;range_mean;;;;;;;MNT;Platosa;MAIN;43
3C805E8B;1;;;;;;;2000.0;bounded;9.0;bounded|approx_magnitude|bounded;;;;;;;TAB;Martha;MAIN;27|30|35
3C805E8B;2;;;;;;;100.0;bounded;;;100.0;bounded;;;112.5;from_cardinal;TAB;Martha;MAIN;36
3DB4603B;1;;redundant_with_ddr;22.5;range_mean;225.0;from_dip_cardinal;91.4;exact;4.6;range_mean;;;;;;;TAB;Caledonia;MAIN;39
3DB4603B;2;;;;;;;;;9.1;exact;;;;;;;N/A;Caledonia;MAIN;39
3DB4603B;3;;;;;;;3000.0;exact;;;;;;;;;N/A;Caledonia;MAIN;44|45
3CC20B2D;1;;;;;;;700.0;bounded;90.0;range_mean;;;;;;;LEN;Nizhny Endybal;MAIN;85
3CC20B2D;2;;;;;;;1300.0;bounded;;;;;;;;;LEN;Nizhny Endybal;MAIN;85
3CC20B2D;3;;;;;;;;;1.5;range_mean;;;;;;;N/A;Nizhny Endybal;MAIN;85
3CC20B2D;4;;;;;;;;;10.0;bounded;;;;;;;N/A;Nizhny Endybal;MAIN;85
3D025485;1;;redundant_with_ddr;57.5;range_mean;90.0;from_dip_cardinal;;;;;;;;;;;N/A;Arthurs Seat;MAIN;27
3D025485;2;90.0;exact;;;;;350.0;bounded;1.0;exact;;;;;;;TAB;Arthurs Seat;MAIN;28|33
3D025485;3;90.0;exact;;;;;600.0;exact;350.0;exact;;;;;;;TAB;Arthurs Seat;MAIN;27|33
3E71680C;1;;;;;;;600.0;bounded;;;350.0;bounded;;;;;TAB;Flame & Moth;MAIN;31
3E71680C;2;;redundant_with_ddr;66.0;exact;135.0;from_dip_cardinal;280.0;exact;;;300.0;exact;;;;;TAB;Flame & Moth;MAIN;31
3E71680C;3;;redundant_with_ddr;62.0;exact;135.0;from_dip_cardinal;280.0;exact;;;350.0;exact;;;;;TAB;Flame & Moth;MAIN;31
3E71680C;4;;;;;;;130.0;exact;;;125.0;exact;;;;;TAB;Flame & Moth;MAIN;31
3E71680C;5;;;;;;;;;30.0;bounded;;;;;;;TAB;Flame & Moth;MAIN;30
3DE238EC;1;;;;;;;600.0;exact;;;350.0;bounded;;;;;IRR;Blind Zone;MAIN;41
3DE238EC;2;;;;;;;;;;;;;;;;;TUB;Cerro Las Minitas;MAIN;33
3DE238EC;3;;;;;;;;;;;;;;;;;MNT;Cerro Las Minitas;MAIN;33
3E19CE93;1;;redundant_with_ddr;82.5;range_mean;315.0;from_dip_cardinal;625.0;range_mean;5.0;bounded;;;;;;;TAB;Cerro Bayo;MAIN;22
3E19CE93;2;;;;;;;800.0;bounded;;;200.0;exact;;;;;IRR;Cerro Bayo;MAIN;24
3F15923D;1;;;;;;;1000.0;exact;;;;;;;;;TAB;Zgounder;MAIN;66
3F15923D;2;;;;;;;;;;;;;;;;;TUB;Zgounder;MAIN;66
3F15923D;3;;;;;;;;;;;;;;;;;IRR;Zgounder;MAIN;66
3F3F8FB8;1;;redundant_with_ddr;52.5;range_mean;225.0;from_dip_cardinal;1600.0;range_mean;;;350.0;range_mean;;;;;TAB;Valdecañas vein system;MAIN;41|43|45
3F3F8FB8;2;;;;;;;;;1.0;bounded;;;;;;;TAB;Valdecañas vein system;MAIN;43
3F3F8FB8;3;;;;;;;;;18.1;range_mean;;;;;;;TAB;Valdecañas vein system;MAIN;43
3F3F8FB8;4;;;;;;;;;19.5;bounded;;;;;;;TAB;Valdecañas vein system;MAIN;43
3FB35B92;1;;;;;;;;;4.6;bounded;;;;;;;TAB;Galena mine complex;MAIN;32
3FB35B92;2;;;;;;;304.8;exact;2.4;range_mean;1280.2;bounded;;;;;TAB;Galena mine complex;MAIN;32
3FB35B92;3;;;;;;;;;0.6;exact;;;;;;;TAB;Galena mine complex;MAIN;32
3FB35B92;4;;redundant_with_ddr;70.0;exact;225.0;from_dip_cardinal;365.8;exact;;;274.3;exact;;;;;TAB;Galena mine complex;MAIN;33
3FB35B92;5;;;;;;;;;2.1;range_mean;;;;;;;TAB;Galena mine complex;MAIN;33
3FB35B92;6;;;;;;;;;0.9;range_mean;;;;;;;TAB;Galena mine complex;MAIN;33
407170A7;1;;;57.5;range_mean;135.0;from_dip_cardinal;;;;;350.0;bounded;;;;;TAB;Treasure Mountain;MAIN;24
407170A7;2;;;;;;;100.0;range_mean;0.5;bounded;;;;;;;IRR;Treasure Mountain;MAIN;24
3F5BC8C7;1;;redundant_with_ddr;60.0;range_mean;45.0;from_dip_cardinal;350.0;exact;;;;;;;;;TAB;San Marcial Vein;MAIN;43
3F5BC8C7;2;;;;;;;;;4.2;range_mean;;;;;;;TAB;San Marcial Vein;MAIN;43
3F5BC8C7;3;;;;;;;;;11.5;range_mean;;;;;;;TAB;San Marcial Vein;MAIN;45
3F5BC8C7;4;;;;;;;;;22.1;bounded;;;;;;;TAB;San Marcial Vein;MAIN;45
3FEF94CF;1;;;;;;;1000.0;bounded;1.0;bounded;100.0;exact;;;;;TAB;Hector Property;MAIN;39|43
3FEF94CF;2;;;;;;;100.0;exact;;;;;;;;;TAB;Hector Property;MAIN;39
3FEF94CF;3;;;;;;;100.0;exact;10.0;exact;;;;;;;TAB;Hector Property;MAIN;41
3FEF94CF;4;;;;;;;140.0;exact;1.0;exact;240.0;exact;;;;;MNT;Hector Property;MAIN;41
4098286B;1;;;57.5;range_mean;135.0;from_dip_cardinal;100.0;range_mean;1.2;range_mean;350.0;bounded;;;;;TAB;Treasure Mountain;MAIN;22
4098286B;2;;;;;;;250.0;exact;0.7;exact;;;;;;;TAB;Treasure Mountain;MAIN;26
426B7D5E;1;;;;;;;2000.0;exact;;;;;;;;;N/A;Corani Main and Corani Minas;MAIN;70
426B7D5E;2;;;;;;;1500.0;exact;;;;;;;;;N/A;Corani Este;MAIN;70
426B7D5E;3;;redundant_with_ddr;47.5;range_mean;270.0;from_dip_cardinal;800.0;exact;45.0;bounded|range_mean;;;;;;;N/A;Corani Main;MAIN;70
426B7D5E;4;;redundant_with_ddr;65.0;range_mean;270.0;from_dip_cardinal;;;1.1;range_mean;;;;;;;TAB;Corani Minas;MAIN;72
426B7D5E;5;;;30.0;range_mean;270.0;from_dip_cardinal;;;;;;;;;;;TAB;Corani;MAIN;68
42A849D3;1;;;;;;;2.5;bounded;;;960.0;bounded;;;;;TAB;Tangana Sector;MAIN;70
42A849D3;2;;;;;;;;;1.3;exact;;;;;;;TAB;Tangana Sector;MAIN;70
42A849D3;3;;redundant_with_ddr;75.0;exact;45.0;from_dip_cardinal;1600.0;exact;3.4;range_mean;;;;;;;TAB;Tangana Sector;MAIN;70
42A849D3;4;;;;;;;1100.0;exact;1.5;exact;;;;;;;TAB;Tangana Sector;MAIN;70
42A849D3;5;60.0;exact;;;;;1000.0;exact;0.7;exact;;;;;;;TAB;Tangana Sector;MAIN;74
42A849D3;6;;redundant_with_ddr;78.0;exact;45.0;from_dip_cardinal;2000.0;exact;0.8;range_mean;;;;;;;TAB;Tangana Sector;MAIN;74
42A849D3;7;;redundant_with_ddr;73.0;exact;225.0;from_dip_cardinal;600.0;exact;;;;;;;;;TAB;Tangana Sector;MAIN;74
40D526D1;1;;;;;;;1300.0;exact;;;600.0;bounded;;;;;N/A;Trinidad Deposit;MAIN;51
40D526D1;2;;;;;;;;;25.8;bounded|range_mean;;;;;;;N/A;Trinidad Deposit;MAIN;51
40D526D1;3;;redundant_with_ddr;75.0;range_mean;45.0;from_dip_cardinal;;;8.0;bounded|range_mean;;;;;;;TAB;Trinidad Deposit;MAIN;53
40D526D1;4;350.0;exact;;;;;;;;;;;;;;;TAB;Trinidad Deposit;MAIN;53
40D526D1;5;;;;;;;650.0;exact;50.0;bounded;300.0;exact;;;;;LEN;Trinidad Deposit;MAIN;53
40D526D1;6;;;;;;;;;3.5;range_mean;;;;;;;TAB;Trinidad Deposit;MAIN;54
40D526D1;7;323.0;exact;80.0;exact;;;400.0;bounded;3.5;range_mean;;;;;;;TAB;Trinidad Deposit;MAIN;54
40D526D1;8;;redundant_with_ddr;85.0;exact;90.0;from_dip_cardinal;175.0;exact;10.0;bounded;100.0;exact;;;;;TAB;Trinidad Deposit;MAIN;54
40D526D1;9;337.0;exact;80.0;exact;;;260.0;exact;1.5;range_mean;;;;;;;TAB;Trinidad Deposit;MAIN;54
40D526D1;10;332.0;exact;82.0;exact;;;130.0;exact;2.0;range_mean;;;;;;;TAB;Trinidad Deposit;MAIN;54
40D526D1;11;345.0;exact;80.0;exact;;;105.0;exact;1.0;exact;;;;;;;TAB;Trinidad Deposit;MAIN;54
437AC06E;1;;;;;;;14000.0;exact;2500.0;exact;;;;;;;TAB;Santa Ana Project;MAIN;54
437AC06E;2;;;;;;;250.0;bounded;;;250.0;bounded;;;;;TAB;Santa Ana Project;MAIN;70
437AC06E;3;30.0;range_mean;;;;;;;;;;;;;;;TAB;Santa Ana Project;MAIN;54
437AC06E;4;45.0;range_mean;;;;;;;;;;;;;;;TAB;Santa Ana Project;MAIN;54
431A790D;1;;;;;;;137.2;range_mean;2.9;range_mean;213.4;range_mean;;;;;TAB;Mogollon District Veins;MAIN;75
431A790D;2;;;;;;;304.8;exact;24.4;bounded;;;;;;;TAB;Mogollon District Veins;MAIN;73
43909512;1;;redundant_with_ddr;83.5;range_mean;45.0;from_dip_cardinal;6000.0;exact;14.0;range_mean;;;;;;;TAB;San José;MAIN;19
43909512;2;;;;;;;;;2.5;exact;;;;;;;TAB;San José;MAIN;23
43909512;3;;redundant_with_ddr;60.0;range_mean;225.0;from_dip_cardinal;1200.0;bounded;0.8;range_mean;;;;;;;TAB;San José;MAIN;23
431186BA;1;;;;;;;;;25.0;range_mean;650.0;bounded;;;;;LEN;Yauricocha Mine;MAIN;54
431186BA;2;;;;;;;;;0.5;exact;;;;;;;TAB;Yauricocha Mine;MAIN;55
431186BA;3;;;;;;;135.0;exact;;;;;;;;;N/A;Yauricocha Mine;MAIN;58
431186BA;4;;;80.0;exact;0.0;from_dip_cardinal;100.0;bounded;4.0;exact;;;;;;;BXS;Yauricocha Mine;MAIN;60
431186BA;5;;;;;;;;;2.6;range_mean;;;;;;;TAB;Yauricocha Mine;MAIN;61
431186BA;6;;redundant_with_ddr;70.0;exact;45.0;from_dip_cardinal;110.0;exact;4.2;range_mean;;;;;;;N/A;Yauricocha Mine;MAIN;62
431186BA;7;;;67.5;range_mean;45.0;from_dip_cardinal;60.0;exact;4.0;exact;;;;;;;BXS;Yauricocha Mine;MAIN;62
431186BA;8;;redundant_with_ddr;78.0;exact;225.0;from_dip_cardinal;70.0;exact;0.8;range_mean;;;;;;;TAB;Yauricocha Mine;MAIN;63
431186BA;9;;redundant_with_ddr;75.0;exact;180.0;from_dip_cardinal;120.0;exact;0.8;range_mean;;;;;;;TAB;Yauricocha Mine;MAIN;63
431186BA;10;;redundant_with_ddr;80.0;exact;225.0;from_dip_cardinal;130.0;exact;1.4;range_mean;;;;;;;TAB;Yauricocha Mine;MAIN;63
431186BA;11;;redundant_with_ddr;70.0;exact;135.0;from_dip_cardinal;30.0;exact;3.0;exact;;;;;;;TAB;Yauricocha Mine;MAIN;63
431186BA;12;;;70.0;exact;0.0;from_dip_cardinal;;;1.5;exact;;;;;;;TAB;Yauricocha Mine;MAIN;64
431186BA;13;;redundant_with_ddr;80.0;exact;225.0;from_dip_cardinal;60.0;exact;2.6;range_mean;;;;;;;TAB;Yauricocha Mine;MAIN;64
431186BA;14;;redundant_with_ddr;80.0;exact;315.0;from_dip_cardinal;90.0;exact;1.6;range_mean;;;;;;;TAB;Yauricocha Mine;MAIN;64
431186BA;15;;redundant_with_ddr;60.0;exact;90.0;from_dip_cardinal;12.0;exact;2.5;exact;;;;;;;N/A;Yauricocha Mine;MAIN;65
431186BA;16;;redundant_with_ddr;85.0;exact;315.0;from_dip_cardinal;34.0;range_mean;4.2;range_mean;;;;;;;TAB;Yauricocha Mine;MAIN;65
431186BA;17;;redundant_with_ddr;55.0;exact;90.0;from_dip_cardinal;30.0;exact;2.5;exact;;;;;;;LEN;Yauricocha Mine;MAIN;66
431186BA;18;;redundant_with_ddr;70.0;exact;45.0;from_dip_cardinal;40.0;exact;6.0;exact;;;;;;;N/A;Yauricocha Mine;MAIN;66
431186BA;19;;;;;;;300.0;exact;2.5;bounded;;;;;;;LEN;Yauricocha Mine;MAIN;67
431186BA;20;;;;;;;30.0;exact;3.0;exact;;;;;;;N/A;Yauricocha Mine;MAIN;67
43BF37D3;1;;redundant_with_ddr;60.5;range_mean;135.0;from_dip_cardinal;240.0;exact;1.5;range_mean;215.0;exact;;;;;TAB;Bermingham;MAIN;34|35|36
43BF37D3;2;;redundant_with_ddr;66.0;range_mean;135.0;from_dip_cardinal;;;;;;;;;;;TAB;Bermingham;MAIN;34|35
43BF37D3;3;;redundant_with_ddr;72.0;exact;180.0;from_dip_cardinal;;;3.0;approx_magnitude;;;;;;;TAB;Bermingham;MAIN;34|35|36
43BF37D3;4;;;;;;;;;30.0;bounded;;;;;;;TAB;Bermingham;MAIN;31
43BF37D3;5;;;;;;;;;5.0;bounded;;;;;;;TAB;Bermingham;MAIN;31
